,yl,xl,method
743,-1310,60.0,Supervisory
744,-72330,60.0,Supervisory
745,-82350,60.0,Supervisory
746,-31470,60.0,Supervisory
747,-31210,60.0,Supervisory
748,178510,60.0,Supervisory
749,-31460,60.0,Supervisory
750,-92360,70.0,Supervisory
751,-141360,70.0,Supervisory
752,8560,70.0,Supervisory
753,28630,70.0,Supervisory
754,-11510,70.0,Supervisory
755,-61360,70.0,Supervisory
756,67570,70.0,Supervisory
757,-71290,70.0,Supervisory
758,-51290,70.0,Supervisory
759,-192190,70.0,Supervisory
760,-101430,70.0,Supervisory
761,-51450,70.0,Supervisory
762,-112220,70.0,Supervisory
763,27600,70.0,Supervisory
764,68490,70.0,Supervisory
765,-62130,70.0,Supervisory
766,-112230,70.0,Supervisory
767,-131300,70.0,Supervisory
768,-21410,70.0,Supervisory
769,-101420,70.0,Supervisory
770,-71390,70.0,Supervisory
771,-1600,70.0,Supervisory
772,-51510,70.0,Supervisory
773,65910,70.0,Supervisory
774,-21370,70.0,Supervisory
775,-51420,70.0,Supervisory
776,168540,70.0,Supervisory
777,-31550,70.0,Supervisory
778,-31430,70.0,Supervisory
779,-81470,70.0,Supervisory
780,-111370,70.0,Supervisory
781,-141370,70.0,Supervisory
782,38690,70.0,Supervisory
783,28570,70.0,Supervisory
784,-61340,70.0,Supervisory
785,-61380,70.0,Supervisory
786,88490,70.0,Supervisory
787,17680,70.0,Supervisory
788,-62260,70.0,Supervisory
789,7830,70.0,Supervisory
790,48610,70.0,Supervisory
791,-131310,70.0,Supervisory
792,-91280,70.0,Supervisory
793,7740,70.0,Supervisory
794,-111360,70.0,Supervisory
795,-141320,70.0,Supervisory
796,67740,70.0,Supervisory
